HRR #,HRR Name,State,"Total, Age, sex & race-adjusted","Total, Price, age, sex & race-adjusted","Hospital & skilled nursing facility, Age, sex & race-adjusted","Hospital & skilled nursing facility, Price, age, sex & race-adjusted","Physician, Age, sex & race-adjusted","Physician, Price, age, sex & race-adjusted","Outpatient facility, Age, sex & race-adjusted","Outpatient facility, Price, age, sex & race-adjusted","Home health agency, Age, sex & race-adjusted","Home health agency, Price, age, sex & race-adjusted","Hospice, Age, sex & race-adjusted","Hospice, Price, age, sex & race-adjusted","Durable medical equipment, Age, sex & race-adjusted","Durable medical equipment, Price, age, sex & race-adjusted"
127,Miami,FL,"145,033 ","13,455 ","13,109 ","5,351 ","5,192 ","3,840 ","3,702 ","1,530 ","1,556 ","1,574 ","1,594 ",675 ,569 ,206 ,212 
129,Ocala,FL,"104,695 ","9,555 ","10,237 ","3,345 ","3,993 ","3,956 ","3,916 ","1,049 ","1,118 ",579 ,616 ,387 ,367 ,208 ,208 
130,Orlando,FL,"354,310 ","10,365 ","11,018 ","4,012 ","4,601 ","3,621 ","3,591 ","1,309 ","1,373 ",744 ,781 ,461 ,441 ,212 ,226 
131,Ormond Beach,FL,"52,061 ","9,506 ","10,044 ","3,371 ","3,773 ","3,208 ","3,210 ","1,429 ","1,533 ",723 ,774 ,612 ,589 ,164 ,171 
133,Panama City,FL,"27,363 ","10,331 ","11,393 ","4,191 ","5,122 ","3,554 ","3,539 ","1,239 ","1,343 ",565 ,613 ,463 ,498 ,314 ,287 
134,Pensacola,FL,"93,551 ","9,457 ","10,449 ","3,547 ","4,314 ","2,908 ","2,903 ","1,658 ","1,810 ",650 ,717 ,441 ,486 ,255 ,232 
137,Sarasota,FL,"90,707 ","9,219 ","9,645 ","3,065 ","3,490 ","3,885 ","3,847 ","1,189 ","1,217 ",666 ,685 ,249 ,235 ,159 ,172 
139,St. Petersburg,FL,"37,395 ","11,055 ","11,663 ","4,641 ","5,171 ","3,808 ","3,798 ","1,226 ","1,279 ",893 ,934 ,302 ,276 ,181 ,199 
140,Tallahassee,FL,"62,676 ","8,861 ","9,944 ","3,652 ","4,417 ","2,644 ","2,691 ","1,452 ","1,631 ",442 ,493 ,434 ,493 ,246 ,223 
141,Tampa,FL,"90,046 ","11,194 ","11,766 ","4,557 ","5,038 ","3,702 ","3,691 ","1,231 ","1,290 ","1,050 ","1,107 ",436 ,404 ,201 ,218 
142,Albany,GA,"17,980 ","7,956 ","8,905 ","3,162 ","3,767 ","2,200 ","2,295 ","1,593 ","1,770 ",312 ,342 ,441 ,496 ,263 ,239 
144,Atlanta,GA,"429,107 ","8,817 ","9,377 ","3,310 ","3,739 ","2,840 ","2,874 ","1,464 ","1,525 ",459 ,479 ,570 ,582 ,192 ,197 
145,Augusta,GA,"62,610 ","8,323 ","8,954 ","3,492 ","3,888 ","2,426 ","2,496 ","1,448 ","1,528 ",326 ,350 ,490 ,540 ,161 ,174 
146,Columbus,GA,"29,460 ","8,484 ","9,423 ","3,104 ","3,690 ","2,339 ","2,461 ","1,806 ","1,972 ",418 ,457 ,643 ,673 ,204 ,185 
147,Macon,GA,"63,782 ","9,293 ","10,111 ","3,648 ","4,215 ","3,080 ","3,162 ","1,379 ","1,497 ",408 ,435 ,574 ,617 ,238 ,216 
148,Rome,GA,"29,463 ","9,404 ","10,395 ","3,983 ","4,640 ","2,640 ","2,756 ","1,343 ","1,465 ",668 ,727 ,557 ,619 ,241 ,228 
149,Savannah,GA,"86,381 ","8,701 ","9,381 ","3,413 ","3,785 ","2,841 ","2,988 ","1,416 ","1,530 ",350 ,381 ,494 ,531 ,199 ,180 
150,Honolulu,HI,"89,169 ","7,718 ","7,190 ","3,384 ","2,965 ","2,217 ","2,214 ","1,507 ","1,417 ",151 ,143 ,368 ,359 ,93 ,90 
151,Boise,ID,"68,462 ","7,945 ","8,459 ","3,073 ","3,291 ","1,548 ","1,623 ","2,103 ","2,228 ",471 ,500 ,558 ,620 ,201 ,209 
152,Idaho Falls,ID,"19,726 ","8,541 ","8,967 ","3,201 ","3,290 ","1,847 ","2,007 ","1,875 ","1,986 ",714 ,741 ,528 ,595 ,395 ,375 
154,Aurora,IL,"20,286 ","9,981 ","10,063 ","4,127 ","4,316 ","2,938 ","2,905 ","1,775 ","1,735 ",634 ,616 ,335 ,300 ,164 ,182 
155,Blue Island,IL,"83,674 ","10,499 ","10,433 ","4,705 ","4,800 ","3,036 ","2,962 ","1,497 ","1,454 ",784 ,759 ,291 ,257 ,177 ,191 
156,Chicago,IL,"145,630 ","10,917 ","10,292 ","5,010 ","4,590 ","2,680 ","2,588 ","1,620 ","1,575 ","1,117 ","1,082 ",245 ,216 ,140 ,149 
158,Elgin,IL,"71,993 ","10,429 ","10,586 ","4,454 ","4,761 ","3,130 ","3,062 ","1,611 ","1,570 ",673 ,654 ,414 ,380 ,153 ,168 
161,Evanston,IL,"111,384 ","9,733 ","9,544 ","3,864 ","3,874 ","2,981 ","2,873 ","1,850 ","1,801 ",621 ,604 ,298 ,267 ,133 ,143 
163,Hinsdale,IL,"44,019 ","9,652 ","9,742 ","3,978 ","4,231 ","3,035 ","2,935 ","1,560 ","1,521 ",595 ,579 ,328 ,310 ,150 ,164 
164,Joliet,IL,"66,073 ","10,720 ","10,994 ","4,805 ","5,100 ","2,955 ","2,991 ","1,864 ","1,833 ",603 ,586 ,306 ,287 ,188 ,196 
